pais,total_records
"United States",8326
"France",385
"Japan",269
"Italy",152
"Spain",146
"India",99
"Germany",96
"South Korea",92
"China",72
"Russia",69
"Denmark",32
"Sweden",30
"Brazil",22
"Indonesia",21
"Norway",14
"Netherlands",13
"Turkey",12
"Poland",10
"Philippines",9
"Thailand",9
"Serbia",7
"Argentina",6
"Iran",5
"Czech Republic",4
"Israel",4
"Finland",3
"Hungary",3
"South Africa",2
"Greece",2
"Romania",2
"Georgia",2
"Latvia",1
"Malaysia",1
"Vietnam",1
"Estonia",1
"Bosnia and Herzegovina",1
"Vatican City",1
"Iceland",1
"North Macedonia",1
"Albania",1
"Ukraine",1
